Date,DE,BE,ES,IT,NL
2026-04-09 00:00:00,104.8975,104.2975,95.1075,132.29,104.79
2026-04-09 01:00:00,101.1025,100.025,90.79,121.8325,100.4525
2026-04-09 02:00:00,101.095,98.205,80.6875,120.6075,99.3
2026-04-09 03:00:00,101.8625,98.31,75.935,118.0025,99.5925
2026-04-09 04:00:00,105.1,98.5625,74.1725,121.3,101.8475
2026-04-09 05:00:00,115.8725,110.13,76.1675,124.92,112.2175
2026-04-09 06:00:00,135.29500000000002,130.235,93.4375,151.29500000000002,132.0975
2026-04-09 07:00:00,146.6,144.73000000000002,129.6975,170.38,145.385
2026-04-09 08:00:00,128.09,132.8825,99.3175,163.55,129.845
2026-04-09 09:00:00,99.675,130.1775,73.9525,131.765,110.4225
2026-04-09 10:00:00,54.9975,51.77,25.695,125.31,54.8325
2026-04-09 11:00:00,1.2075,1.105,0.735,126.125,1.1575
2026-04-09 12:00:00,-1.03,-1.0125000000000002,-0.065,64.7825,-1.02
2026-04-09 13:00:00,-7.865,-7.6625,-0.6275,45.875,-7.76
2026-04-09 14:00:00,-8.1375,-7.92,-0.82,57.98,-8.0
2026-04-09 15:00:00,-1.3025,-1.23,-0.8474999999999999,64.725,-1.2525
2026-04-09 16:00:00,27.08,21.3025,-0.2075,101.305,24.277500000000003
2026-04-09 17:00:00,82.5275,67.8975,-0.0025,117.765,75.0075
2026-04-09 18:00:00,115.355,103.4075,12.0475,144.005,109.7975
2026-04-09 19:00:00,137.1675,122.14,57.9625,168.505,129.835
2026-04-09 20:00:00,127.325,118.99,77.9975,174.69,123.4725
2026-04-09 21:00:00,110.95,101.3875,83.875,158.6175,105.8325
2026-04-09 22:00:00,100.23,91.8875,69.5575,139.70749999999998,96.0475
2026-04-09 23:00:00,81.05250000000001,79.1875,62.2625,127.78,80.4475
2026-04-10 00:00:00,81.88,72.31,47.98,132.6675,76.565
2026-04-10 01:00:00,79.32,69.02,39.4875,120.0825,73.385
2026-04-10 02:00:00,78.83,68.505,39.8,115.245,72.72
2026-04-10 03:00:00,78.5525,67.39500000000001,39.8,117.2475,72.015
2026-04-10 04:00:00,81.1225,68.95,39.8625,111.54,74.02499999999999
2026-04-10 05:00:00,88.7675,75.285,42.4975,119.425,81.7225
2026-04-10 06:00:00,112.1575,100.9375,61.41,148.0475,105.5325
2026-04-10 07:00:00,126.4375,119.755,85.77,169.61,122.4275
2026-04-10 08:00:00,123.16,128.935,86.005,164.54500000000002,125.0925
2026-04-10 09:00:00,119.265,148.17000000000002,62.32,126.85,130.8775
2026-04-10 10:00:00,109.84,150.0,18.2875,115.905,125.615
2026-04-10 11:00:00,102.99,115.685,1.8075,109.335,107.2
2026-04-10 12:00:00,92.09,122.0,0.2875,91.2925,103.655
2026-04-10 13:00:00,88.9375,98.7625,0.0025,82.9525,91.39
2026-04-10 14:00:00,87.4,109.295,0.0025,85.575,95.425
2026-04-10 15:00:00,94.0175,78.515,0.005,102.0,84.55499999999999
2026-04-10 16:00:00,108.78,96.3975,0.2125,116.355,101.2625
2026-04-10 17:00:00,130.1025,115.565,5.9975000000000005,137.4875,120.7175
2026-04-10 18:00:00,155.29,141.0325,36.7725,151.5025,150.4
2026-04-10 19:00:00,227.7675,197.9925,72.12,172.78,225.0025
2026-04-10 20:00:00,245.115,196.5675,104.85,180.5,238.1425
2026-04-10 21:00:00,176.4775,148.8125,104.675,165.27249999999998,170.63
2026-04-10 22:00:00,149.305,125.97,93.255,145.065,142.075
2026-04-10 23:00:00,131.96,118.4375,84.41,134.9025,125.72
2026-04-11 00:00:00,134.015,95.0525,81.9425,130.1,125.925
2026-04-11 01:00:00,120.6325,104.7525,61.5325,130.1,112.0525
2026-04-11 02:00:00,114.3825,93.255,51.4,122.645,104.565
2026-04-11 03:00:00,112.35,87.0575,48.8,123.66,101.0475
2026-04-11 04:00:00,110.8375,87.36500000000001,43.42,124.7375,99.7025
2026-04-11 05:00:00,108.36,84.95750000000001,50.05,125.555,96.8925
2026-04-11 06:00:00,106.605,84.3475,63.39,133.825,96.3775
2026-04-11 07:00:00,93.2375,74.405,63.9,150.96,84.41499999999999
2026-04-11 08:00:00,69.61,57.8375,58.5775,140.66,64.0525
2026-04-11 09:00:00,21.57,19.8975,32.035000000000004,138.4475,20.765
2026-04-11 10:00:00,-0.1574999999999997,-0.0524999999999999,8.655000000000001,120.8,-0.1099999999999998
2026-04-11 11:00:00,-8.307500000000001,-2.625,0.8574999999999999,120.14,-4.8425
2026-04-11 12:00:00,-40.2525,-2.0,0.0,84.7725,-21.73
2026-04-11 13:00:00,-79.965,-13.1875,-0.1625,37.5,-28.965
2026-04-11 14:00:00,-77.635,-6.8,-0.7575000000000001,37.445,-24.3525
2026-04-11 15:00:00,-45.8275,-5.3375,-1.4375,73.215,-5.745
2026-04-11 16:00:00,-15.7975,-3.7625,-1.2525,97.045,5.7675
2026-04-11 17:00:00,-0.7149999999999999,6.890000000000001,-0.2025,125.6325,19.3
2026-04-11 18:00:00,43.697500000000005,47.52,2.0875,141.4025,69.9975
2026-04-11 19:00:00,73.8175,69.66,13.3475,159.68,90.9075
2026-04-11 20:00:00,74.7875,76.945,26.785,166.57999999999998,107.2325
2026-04-11 21:00:00,65.2325,72.0125,34.6425,147.5325,102.9675
2026-04-11 22:00:00,68.6275,76.38,31.815,140.8175,119.9
2026-04-11 23:00:00,68.625,65.6125,24.3925,132.0075,82.38499999999999
2026-04-12 00:00:00,72.52250000000001,61.2225,15.1575,147.5125,67.7175
2026-04-12 01:00:00,76.57249999999999,61.88,11.045,150.0,69.6925
2026-04-12 02:00:00,80.4225,64.835,9.4375,135.0,73.19500000000001
2026-04-12 03:00:00,85.26,68.165,10.9375,119.42,76.8825
2026-04-12 04:00:00,95.1025,75.2625,10.525,119.42,85.6825
2026-04-12 05:00:00,98.05,77.7175,10.8175,117.48,88.47749999999999
2026-04-12 06:00:00,98.7,78.1275,11.8075,111.3525,88.35499999999999
2026-04-12 07:00:00,94.3175,74.2775,10.5175,103.845,84.17
2026-04-12 08:00:00,76.10249999999999,44.79,12.2275,98.6675,68.38250000000001
2026-04-12 09:00:00,53.3225,30.09,10.8425,81.005,46.1875
2026-04-12 10:00:00,30.2325,15.935,2.5125,68.37,15.96
2026-04-12 11:00:00,22.415,8.94,0.2625,80.0,-2.0725
2026-04-12 12:00:00,14.975,10.52,0.0,69.7975,-2.0225
2026-04-12 13:00:00,1.97,0.4325,0.0,47.650000000000006,-1.13
2026-04-12 14:00:00,4.625,4.994999999999999,-0.005,55.31,4.575
2026-04-12 15:00:00,15.905,15.935,-0.4275,42.6025,15.919999999999998
2026-04-12 16:00:00,67.55,44.09,-0.81,58.337500000000006,61.605
2026-04-12 17:00:00,110.1775,76.16,-0.7175,95.48,102.6675
2026-04-12 18:00:00,135.3875,125.2825,-0.015,126.9,132.3675
2026-04-12 19:00:00,144.765,141.6325,8.885,140.64,144.0175
2026-04-12 20:00:00,146.8025,142.675,35.932500000000005,143.4475,145.7575
2026-04-12 21:00:00,136.73250000000002,136.73250000000002,71.91499999999999,136.73250000000002,136.73250000000002
2026-04-12 22:00:00,130.6075,130.605,54.0225,130.6075,130.6075
2026-04-12 23:00:00,121.0175,121.0,35.015,121.03,121.0075
2026-04-13 00:00:00,116.5425,114.9975,30.1775,117.2975,115.7725
2026-04-13 01:00:00,109.795,109.795,18.8975,109.795,109.795
2026-04-13 02:00:00,107.315,105.07,14.5,108.33,106.2125
2026-04-13 03:00:00,107.59,103.9525,10.3875,109.245,106.2125
2026-04-13 04:00:00,110.02,107.5575,7.795,109.41,109.0475
2026-04-13 05:00:00,119.0725,114.74,13.0875,119.8575,117.0025
2026-04-13 06:00:00,136.115,133.77,20.8875,135.8875,134.925
2026-04-13 07:00:00,145.12,141.3375,52.675,140.1125,144.3375
2026-04-13 08:00:00,173.88,173.79250000000002,26.1225,164.37,173.365
2026-04-13 09:00:00,160.965,166.675,4.82,180.0,163.555
2026-04-13 10:00:00,138.63,144.48250000000002,0.21,174.3025,141.9075
2026-04-13 11:00:00,116.0,125.755,-0.0075,169.82999999999998,121.915
2026-04-13 12:00:00,104.735,117.32,-0.0275,164.67000000000002,111.8275
2026-04-13 13:00:00,97.3925,113.8975,-0.02,155.8375,106.4225
2026-04-13 14:00:00,101.695,114.9975,-0.04,165.0575,114.26
2026-04-13 15:00:00,104.6375,110.8375,-0.015,155.0,116.9425
2026-04-13 16:00:00,114.5975,105.585,-0.01,152.84750000000005,113.67
2026-04-13 17:00:00,130.3775,119.42,0.0025,145.66,125.4725
2026-04-13 18:00:00,148.2,141.095,4.6125,164.51,144.625
2026-04-13 19:00:00,164.5225,168.3275,26.9575,169.6775,164.9475
2026-04-13 20:00:00,156.61,151.195,82.235,166.07,153.765
2026-04-13 21:00:00,139.0475,144.8975,99.95,151.745,143.2825
2026-04-13 22:00:00,129.76,129.925,89.775,141.79500000000002,130.6975
2026-04-13 23:00:00,122.6275,122.82,68.3375,133.3525,122.73
2026-04-14 00:00:00,116.0625,116.865,65.47749999999999,130.1,116.495
2026-04-14 01:00:00,113.665,114.645,62.0875,128.89,114.23
2026-04-14 02:00:00,114.99,115.945,63.525000000000006,128.5925,115.505
2026-04-14 03:00:00,113.385,113.6425,59.1075,128.55,113.555
2026-04-14 04:00:00,114.68,114.5175,57.25,129.62,114.65
2026-04-14 05:00:00,118.1475,117.8575,60.765,130.855,118.045
2026-04-14 06:00:00,138.72,137.995,73.30000000000001,149.6375,138.29
2026-04-14 07:00:00,163.0225,162.2775,94.41,168.7775,162.6525
2026-04-14 08:00:00,164.495,165.185,81.39,183.1425,165.2825
2026-04-14 09:00:00,144.32999999999998,139.0875,25.65,173.88750000000002,141.615
2026-04-14 10:00:00,128.82999999999998,117.005,0.6649999999999999,168.18,123.34
